GEO.id,GEO.id2,GEO.display-label,GC_RANK.target-geo-id,GC_RANK.target-geo-id2,GC_RANK.display-label,GC_RANK.display-label,respop72013
0100000US,,United States,1620000US1245975,1245975,"United States - Miramar city, Florida","Miramar city, Florida",130288
0100000US,,United States,1620000US4876000,4876000,"United States - Waco city, Texas","Waco city, Texas",129030
0100000US,,United States,1620000US0678582,0678582,"United States - Thousand Oaks city, California","Thousand Oaks city, California",128731
0100000US,,United States,1620000US1912000,1912000,"United States - Cedar Rapids city, Iowa","Cedar Rapids city, Iowa",128429
0100000US,,United States,1620000US4513330,4513330,"United States - Charleston city, South Carolina","Charleston city, South Carolina",127999
0100000US,,United States,1620000US0682954,0682954,"United States - Visalia city, California","Visalia city, California",127763
0100000US,,United States,1620000US2071000,2071000,"United States - Topeka city, Kansas","Topeka city, Kansas",127679
0100000US,,United States,1620000US3421000,3421000,"United States - Elizabeth city, New Jersey","Elizabeth city, New Jersey",127558
0100000US,,United States,1620000US1225175,1225175,"United States - Gainesville city, Florida","Gainesville city, Florida",127488
0100000US,,United States,1620000US0877290,0877290,"United States - Thornton city, Colorado","Thornton city, Colorado",127359
0100000US,,United States,1620000US0662938,0662938,"United States - Roseville city, California","Roseville city, California",127035
0100000US,,United States,1620000US4813024,4813024,"United States - Carrollton city, Texas","Carrollton city, Texas",126700
0100000US,,United States,1620000US1214400,1214400,"United States - Coral Springs city, Florida","Coral Springs city, Florida",126604
0100000US,,United States,1620000US0973000,0973000,"United States - Stamford city, Connecticut","Stamford city, Connecticut",126456
0100000US,,United States,1620000US0672016,0672016,"United States - Simi Valley city, California","Simi Valley city, California",126181
0100000US,,United States,1620000US0616000,0616000,"United States - Concord city, California","Concord city, California",125880
0100000US,,United States,1620000US0937000,0937000,"United States - Hartford city, Connecticut","Hartford city, Connecticut",125017
0100000US,,United States,1620000US5335415,5335415,"United States - Kent city, Washington","Kent city, Washington",124435
0100000US,,United States,1620000US2240735,2240735,"United States - Lafayette city, Louisiana","Lafayette city, Louisiana",124276
0100000US,,United States,1620000US4848072,4848072,"United States - Midland city, Texas","Midland city, Texas",123933
0100000US,,United States,1620000US0471510,0471510,"United States - Surprise city, Arizona","Surprise city, Arizona",123546
0100000US,,United States,1620000US4819972,4819972,"United States - Denton city, Texas","Denton city, Texas",123099
0100000US,,United States,1620000US0682590,0682590,"United States - Victorville city, California","Victorville city, California",121096
0100000US,,United States,1620000US1822000,1822000,"United States - Evansville city, Indiana","Evansville city, Indiana",120310
0100000US,,United States,1620000US0669084,0669084,"United States - Santa Clara city, California","Santa Clara city, California",120245
0100000US,,United States,1620000US4801000,4801000,"United States - Abilene city, Texas","Abilene city, Texas",120099
0100000US,,United States,1620000US1303440,1303440,"United States - Athens-Clarke County unified government (balance), Georgia","Athens-Clarke County unified government (balance), Georgia",119980
0100000US,,United States,1620000US0681666,0681666,"United States - Vallejo city, California","Vallejo city, California",118837
0100000US,,United States,1620000US4202000,4202000,"United States - Allentown city, Pennsylvania","Allentown city, Pennsylvania",118577
0100000US,,United States,1620000US4052500,4052500,"United States - Norman city, Oklahoma","Norman city, Oklahoma",118197
0100000US,,United States,1620000US4807000,4807000,"United States - Beaumont city, Texas","Beaumont city, Texas",117796
0100000US,,United States,1620000US2935000,2935000,"United States - Independence city, Missouri","Independence city, Missouri",117240
0100000US,,United States,1620000US4751560,4751560,"United States - Murfreesboro city, Tennessee","Murfreesboro city, Tennessee",117044
0100000US,,United States,1620000US2603000,2603000,"United States - Ann Arbor city, Michigan","Ann Arbor city, Michigan",117025
0100000US,,United States,1620000US1772000,1772000,"United States - Springfield city, Illinois","Springfield city, Illinois",117006
0100000US,,United States,1620000US0606000,0606000,"United States - Berkeley city, California","Berkeley city, California",116768
0100000US,,United States,1620000US1759000,1759000,"United States - Peoria city, Illinois","Peoria city, Illinois",116513
0100000US,,United States,1620000US4962470,4962470,"United States - Provo city, Utah","Provo city, Utah",116288
0100000US,,United States,1620000US0622230,0622230,"United States - El Monte city, California","El Monte city, California",115708
0100000US,,United States,1620000US2915670,2915670,"United States - Columbia city, Missouri","Columbia city, Missouri",115276
0100000US,,United States,1620000US2646000,2646000,"United States - Lansing city, Michigan","Lansing city, Michigan",113972
0100000US,,United States,1620000US3825700,3825700,"United States - Fargo city, North Dakota","Fargo city, North Dakota",113658
0100000US,,United States,1620000US0619766,0619766,"United States - Downey city, California","Downey city, California",113242
0100000US,,United States,1620000US0616532,0616532,"United States - Costa Mesa city, California","Costa Mesa city, California",112174
